State,Dem,Rep,Date,Pollster
CT,52,45,Aug 26 2012,QuinnipiacU
CT,52,45,Oct 21 2012,Rasmussen
CT,53,32,Sep 16 2012,UofConnecticut
CT,53,37,Mar 19 2012,QuinnipiacU
CT,53,38,Oct 14 2012,SienaColl
CT,53,40,Aug 23 2012,PPP
CT,53,40,Oct 21 2012,SurveyUSA
CT,53,44,Oct 16 2012,PPP
CT,54,41,Sep 26 2012,PPP
CT,54,42,Oct 02 2012,QuinnipiacU
CT,55,41,Oct 22 2012,QuinnipiacU
CT,55,42,Nov 02 2012,PPP
DC,88,8,Oct 14 2012,PPP
DE,62,37,Nov 04 2008,2008Election
FL,41,47,May 21 2012,QuinnipiacU
FL,42,47,Jan 24 2012,SuffolkU
FL,43,44,May 01 2012,QuinnipiacU
FL,43,45,Aug 15 2012,Rasmussen
FL,43,46,Jan 08 2012,QuinnipiacU
FL,44,48,Jan 26 2012,MasonDixon
FL,44,51,Oct 10 2012,MasonDixon
FL,45,41,Jun 25 2012,QuinnipiacU
FL,45,43,Apr 17 2012,FoxNews
FL,45,45,Jan 23 2012,QuinnipiacU
FL,45,46,Apr 25 2012,Rasmussen
FL,45,46,Jul 09 2012,Rasmussen
FL,45,47,Apr 23 2012,PurpleStrategies
FL,45,48,Jul 13 2012,PurpleStrategies
FL,45,48,Oct 18 2012,FoxNews
FL,45,49,Jun 05 2012,PurpleStrategies
FL,45,51,Nov 01 2012,MasonDixon
FL,46,42,Jun 18 2012,QuinnipiacU
FL,46,43,Mar 13 2012,Rasmussen
FL,46,43,Sep 30 2012,SuffolkU
FL,46,45,Jul 11 2012,MasonDixon
FL,46,45,May 08 2012,SuffolkU
FL,46,46,Nov 04 2012,IPSOS
FL,46,49,Oct 11 2012,ARG
FL,46,51,Oct 18 2012,Rasmussen
FL,46,51,Oct 20 2012,Angus
FL,46,51,Oct 24 2012,VoterSurveyService
FL,47,44,Feb 09 2012,Rasmussen
FL,47,44,Oct 16 2012,Zogby
FL,47,45,Oct 24 2012,ProjectNewAmerica
FL,47,46,Oct 01 2012,MaristColl
FL,47,46,Oct 18 2012,SurveyUSA
FL,47,47,Oct 21 2012,PharosResearchGroup
FL,47,47,Oct 27 2012,SurveyUSA
FL,47,47,Oct 30 2012,IPSOS
FL,47,48,Aug 14 2012,PurpleStrategies
FL,47,48,Oct 18 2012,PPP
FL,47,48,Sep 19 2012,PurpleStrategies
FL,47,49,Nov 03 2012,Zogby
FL,47,49,Oct 04 2012,Rasmussen
FL,47,51,Oct 11 2012,Rasmussen
FL,47,52,Nov 04 2012,InsiderAdvantage
FL,48,43,Jul 19 2012,SurveyUSA
FL,48,44,May 20 2012,MaristColl
FL,48,44,Sep 09 2012,SurveyUSA
FL,48,46,Nov 01 2012,IPSOS
FL,48,46,Sep 12 2012,Rasmussen
FL,48,47,Jul 29 2012,PPP
FL,48,47,Oct 09 2012,MaristColl
FL,48,47,Oct 28 2012,QuinnipiacU
FL,48,47,Oct 29 2012,Zogby
FL,48,47,Sep 02 2012,PPP
FL,48,47,Sep 19 2012,MasonDixon
FL,48,49,Oct 14 2012,PPP
FL,48,49,Oct 18 2012,ORCInternational
FL,48,50,Oct 25 2012,Rasmussen
FL,48,50,Oct 29 2012,PulseOpinionResearch
FL,49,41,Jan 27 2012,MaristColl
FL,49,42,Mar 26 2012,QuinnipiacU
FL,49,44,Sep 11 2012,MaristColl
FL,49,44,Sep 18 2012,FoxNews
FL,49,45,Oct 09 2012,UofNorthFlorida
FL,49,46,Aug 21 2012,QuinnipiacU
FL,49,47,Nov 01 2012,MaristColl
FL,49,48,Oct 28 2012,PPP
FL,49,50,Oct 28 2012,ORCInternational
FL,50,45,Apr 15 2012,PPP
FL,50,45,Sep 22 2012,ARG
FL,50,46,Aug 26 2012,ORCInternational
FL,50,46,Jun 03 2012,PPP
FL,50,46,Sep 23 2012,PPP
FL,50,49,Nov 04 2012,PPP
FL,51,45,Jul 30 2012,QuinnipiacU
FL,51,47,Sep 23 2012,WashingtonPost
FL,53,44,Sep 24 2012,QuinnipiacU
GA,35,56,Sep 19 2012,InsiderAdvantage
GA,40,52,May 22 2012,InsiderAdvantage
GA,41,50,Jul 23 2012,InsiderAdvantage
GA,42,49,Feb 29 2012,SurveyUSA
GA,42,54,Nov 01 2012,InsiderAdvantage
GA,43,51,Feb 02 2012,SurveyUSA
GA,43,51,Oct 12 2012,AtlantaJournal
GA,44,52,Oct 28 2012,SurveyUSA
HI,61,34,Oct 26 2012,MerrimanRiverGroup
HI,62,30,Sep 28 2012,MerrimanRiverGroup
IA,44,44,May 24 2012,MaristColl
IA,44,45,Oct 27 2012,UofIowa
IA,44,46,Aug 08 2012,Rasmussen
IA,44,46,Feb 15 2012,Selzer
IA,44,47,Sep 19 2012,Rasmussen
IA,46,47,Jun 11 2012,Rasmussen
IA,47,42,Nov 02 2012,Selzer
IA,47,45,Aug 26 2012,PPP
IA,48,43,Jul 15 2012,PPP
IA,48,48,Oct 14 2012,ARG
IA,48,48,Oct 21 2012,Rasmussen
IA,48,49,Nov 04 2012,ARG
IA,48,49,Oct 19 2012,PPP
IA,48,49,Oct 30 2012,Rasmussen
IA,49,45,Sep 26 2012,Selzer
IA,49,47,Oct 07 2012,Rasmussen
IA,49,47,Oct 24 2012,PPP
IA,50,42,Sep 18 2012,MaristColl
IA,50,44,Oct 29 2012,MaristColl
IA,50,45,Oct 30 2012,PPP
IA,50,47,Oct 31 2012,CallFire
IA,50,48,Nov 04 2012,PPP
IA,51,41,May 06 2012,PPP
IA,51,43,Oct 17 2012,MaristColl
IA,51,44,Sep 23 2012,ARG
IA,51,44,Sep 26 2012,PPP
ID,27,63,Oct 10 2012,MasonDixon
IL,47,34,Sep 10 2012,SouthernIllinoisU
IL,51,31,Jul 22 2012,IPSOS
IL,55,29,Aug 23 2012,IPSOS
IL,55,36,Oct 08 2012,MarketShares
IL,56,35,Feb 06 2012,MarketShares
IN,35,51,Aug 01 2012,Rasmussen
IN,38,51,Oct 21 2012,PharosResearchGroup
IN,40,49,Mar 27 2012,Howey
IN,40,52,Sep 23 2012,Howey
IN,41,47,Sep 12 2012,GlobalStrategy
IN,41,51,Oct 30 2012,Howey
IN,41,54,Oct 11 2012,Rasmussen
IN,42,48,May 24 2012,Rasmussen
IN,42,55,Oct 28 2012,PharosResearchGroup
IN,43,52,Nov 01 2012,Rasmussen
KS,36,56,Sep 25 2012,Jayhawk
KY,39,53,Sep 13 2012,SurveyUSA
LA,37,50,Sep 30 2012,Zogby
LA,39,45,Sep 20 2012,SouthernMediaOpinionResearch
MA,46,34,May 31 2012,UofNewHampshire
MA,49,33,Mar 27 2012,UofNewHampshire
MA,51,40,Apr 09 2012,Rasmussen
MA,52,36,Oct 07 2012,MassINC
MA,53,39,Feb 15 2012,SuffolkU
MA,55,34,Oct 08 2012,UofMass
MA,55,38,Feb 29 2012,Rasmussen
MA,55,39,Aug 19 2012,PPP
MA,55,39,Jun 24 2012,PPP
MA,55,40,Sep 24 2012,Rasmussen
MA,55,41,Oct 11 2012,PPP
MA,56,34,May 31 2012,WesternNewEnglandU
MA,56,35,May 07 2012,Rasmussen
MA,56,36,Oct 22 2012,MassINC
MA,56,39,Oct 28 2012,UofNewHampshire
MA,57,30,Sep 27 2012,UofNewHampshire
MA,57,37,Nov 03 2012,PrincetonSurvey
MA,57,37,Nov 03 2012,UofMass
MA,57,39,Oct 16 2012,PPP
MA,57,39,Sep 16 2012,PPP
MA,57,42,Nov 02 2012,PPP
MA,57,42,Oct 10 2012,Rasmussen
MA,58,35,Mar 18 2012,PPP
MA,58,40,Nov 01 2012,WesternNewEnglandU
MA,59,31,Sep 17 2012,MassINC
MA,59,34,May 22 2012,SuffolkU
MA,59,36,Sep 17 2012,UofMass
MA,59,40,Oct 25 2012,Rasmussen
MA,60,32,Sep 28 2012,MassINC
MA,60,34,Sep 30 2012,OpinionDynamics
MA,60,36,Mar 01 2012,WesternNewEnglandU
MA,63,31,Oct 28 2012,SuffolkU
MA,63,33,Oct 04 2012,WesternNewEnglandU
MA,64,31,Sep 16 2012,SuffolkU
MD,55,36,Oct 23 2012,OpinionWorks
MD,55,36,Sep 23 2012,GonzalesResearch
MD,57,34,Sep 27 2012,OpinionWorks
MD,58,35,May 21 2012,PPP
MD,60,36,Oct 15 2012,WashingtonPost
ME,48,34,Jun 14 2012,MassINC
ME,49,35,Jun 25 2012,CriticalInsights
ME,49,42,Oct 31 2012,CriticalInsights
ME,50,42,May 07 2012,CriticalInsights
ME,51,37,Sep 28 2012,PanAtlanticSMS
ME,52,36,Sep 16 2012,CriticalInsights
ME,52,37,Aug 06 2012,MooreConsulting
ME,52,40,Sep 25 2012,Rasmussen
ME,54,37,Sep 17 2012,MainePeoplesResCtr
ME,55,37,Apr 02 2012,MainePeopleResCtr
ME,55,37,Apr 02 2012,MainePeoplesResCtr
ME,55,39,Sep 18 2012,PPP
ME,55,42,Nov 02 2012,PPP
ME,58,35,Mar 04 2012,PPP
MI,40,40,Jun 15 2012,DennoResearch
MI,44,41,Oct 10 2012,DennoResearch
MI,44,45,Jul 23 2012,MitchellResearch
MI,45,46,Jun 05 2012,EPICMRA
MI,47,37,Sep 11 2012,EPICMRA
MI,47,43,Apr 03 2012,EPICMRA
MI,47,43,Jun 25 2012,MaristColl
MI,47,46,Jun 18 2012,MitchellResearch
MI,47,47,Aug 23 2012,MitchellResearch
MI,48,40,Jan 25 2012,EPICMRA
MI,48,42,Aug 20 2012,GlengariffGroup
MI,48,42,Jul 23 2012,Rasmussen
MI,48,42,Jul 31 2012,EPICMRA
MI,48,42,Oct 29 2012,EPICMRA
MI,48,42,Sep 15 2012,MarketingResourceGrp
MI,48,45,Oct 06 2012,EPICMRA
MI,49,44,Aug 13 2012,MitchellResearch
MI,49,46,Aug 28 2012,EPICMRA
MI,50,42,Jun 14 2012,Rasmussen
MI,51,33,Feb 20 2012,MaristColl
MI,51,42,Sep 19 2012,PPP
MI,51,44,Sep 02 2012,PPP
MI,52,44,Sep 18 2012,ORCInternational
MI,52,45,Oct 11 2012,Rasmussen
MI,52,46,Nov 03 2012,PPP
MI,52,46,Oct 17 2012,EPICMRA
MI,52,47,Nov 01 2012,Rasmussen
MI,53,39,Jul 23 2012,PPP
MI,53,39,May 27 2012,PPP
MI,53,45,Oct 31 2012,PPP
MI,54,38,Feb 12 2012,PPP
MI,54,42,Sep 20 2012,Rasmussen
MI,59,39,Oct 20 2012,Angus
MN,46,40,Jul 19 2012,SurveyUSA
MN,47,44,Oct 25 2012,MasonDixon
MN,48,40,Sep 19 2012,MasonDixon
MN,48,40,Sep 19 2012,StarTribune
MN,49,36,Feb 02 2012,SurveyUSA
MN,50,40,Oct 14 2012,SurveyUSA
MN,50,40,Sep 09 2012,SurveyUSA
MN,50,43,Oct 28 2012,SurveyUSA
MN,51,41,Jan 22 2012,PPP
MN,51,44,Sep 11 2012,PPP
MN,51,46,Oct 21 2012,Rasmussen
MN,52,38,May 10 2012,SurveyUSA
MN,52,41,Nov 03 2012,SurveyUSA
MN,53,43,Oct 08 2012,PPP
MN,53,45,Nov 03 2012,PPP
MN,54,39,Jun 03 2012,PPP
MO,41,50,Mar 14 2012,Rasmussen
MO,41,53,Aug 29 2012,PPP
MO,41,54,Oct 25 2012,MasonDixon
MO,42,49,Jun 07 2012,Rasmussen
MO,42,51,Jul 25 2012,MasonDixon
MO,42,52,Aug 20 2012,PPP
MO,43,50,Aug 23 2012,MasonDixon
MO,43,50,Nov 03 2012,SurveyUSA
MO,43,54,Oct 17 2012,Rasmussen
MO,44,45,Aug 12 2012,SurveyUSA
MO,44,50,Jul 30 2012,Rasmussen
MO,44,50,Sep 20 2012,ChilenskiStrategies
MO,45,44,May 27 2012,PPP
MO,45,45,Jan 29 2012,PPP
MO,45,48,Apr 17 2012,Rasmussen
MO,45,48,Sep 11 2012,Rasmussen
MO,45,51,Oct 03 2012,PPP
MO,45,53,Nov 03 2012,PPP
MO,46,49,Oct 02 2012,Rasmussen
MO,46,52,Oct 21 2012,PPP
MO,47,46,Aug 22 2012,Rasmussen
MO,47,48,Aug 08 2012,ChilenskiStrategies
MS,40,46,Mar 27 2012,PPP
MT,38,55,Aug 20 2012,Rasmussen
MT,40,49,Apr 02 2012,Rasmussen
MT,41,47,Oct 21 2012,PharosResearchGroup
MT,41,48,Feb 22 2012,Rasmussen
MT,41,52,Oct 10 2012,PPP
MT,42,51,Jun 18 2012,Rasmussen
MT,42,51,Sep 19 2012,MasonDixon
MT,43,48,Apr 29 2012,PPP
MT,43,50,Oct 28 2012,PharosResearchGroup
MT,43,53,Oct 16 2012,PPP
MT,43,53,Oct 29 2012,Rasmussen
MT,43,53,Oct 31 2012,MasonDixon
MT,44,51,May 02 2012,Rasmussen
MT,45,50,Sep 11 2012,PPP
MT,45,52,Nov 03 2012,PPP
MT,45,53,Oct 14 2012,Rasmussen
NC,43,43,Aug 23 2012,SurveyUSA
NC,43,46,Aug 30 2012,SurveyUSA
NC,43,47,Aug 30 2012,ElonU
NC,43,51,May 14 2012,Rasmussen
NC,43,53,Sep 06 2012,SurveyUSA
NC,44,45,May 21 2012,SurveyUSA
NC,44,46,Apr 10 2012,Rasmussen
NC,44,47,Jun 25 2012,Rasmussen
NC,44,49,Aug 01 2012,Rasmussen
NC,45,45,Oct 26 2012,ElonU
NC,45,46,Oct 30 2012,HighPointUniversity
NC,45,50,Jul 01 2012,SurveyUSA
NC,45,50,Oct 29 2012,SurveyUSA
NC,45,51,Sep 13 2012,Rasmussen
NC,46,43,Sep 18 2012,HighPointUniversity
NC,46,44,Jun 25 2012,MaristColl
NC,46,45,Jan 08 2012,PPP
NC,46,45,Oct 10 2012,HighPointUniversity
NC,46,48,Jun 10 2012,PPP
NC,46,50,Sep 30 2012,ARG
NC,46,52,Oct 17 2012,Rasmussen
NC,46,52,Oct 25 2012,Rasmussen
NC,47,43,Apr 30 2012,SurveyUSA
NC,47,46,Feb 05 2012,PPP
NC,47,46,Jul 08 2012,PPP
NC,47,47,Apr 05 2012,MaristColl
NC,47,48,Aug 26 2012,ORCInternational
NC,47,49,Oct 14 2012,PPP
NC,47,51,Oct 02 2012,Rasmussen
NC,48,46,Sep 19 2012,PurpleStrategies
NC,48,46,Sep 25 2012,MaristColl
NC,48,47,May 13 2012,PPP
NC,48,48,Oct 25 2012,PPP
NC,48,48,Sep 02 2012,PPP
NC,48,48,Sep 30 2012,PPP
NC,48,49,Jul 08 2012,ProjectNewAmerica
NC,48,51,Oct 09 2012,Rasmussen
NC,49,44,Apr 07 2012,PPP
NC,49,46,Aug 05 2012,PPP
NC,49,46,Mar 11 2012,PPP
NC,49,47,Oct 01 2012,SurveyUSA
NC,49,48,Sep 09 2012,PPP
NC,49,49,Nov 04 2012,PPP
NC,49,49,Oct 31 2012,PPP
ND,32,57,Oct 15 2012,EssmanResearch
ND,36,51,Jul 11 2012,Rasmussen
ND,38,55,Oct 28 2012,PharosResearchGroup
ND,39,49,Oct 21 2012,PharosResearchGroup
ND,39,52,Jun 06 2012,MasonDixon
ND,40,54,Oct 05 2012,MasonDixon
ND,40,54,Oct 18 2012,Rasmussen
ND,40,54,Oct 28 2012,MasonDixon
NE,35,52,Mar 05 2012,Rasmussen
NE,39,51,Jan 25 2012,PPP
NE,39,51,Mar 25 2012,PPP
NE,39,53,May 16 2012,Rasmussen
NE,39,58,Oct 28 2012,PharosResearchGroup
NE,40,51,Sep 20 2012,WieseResearchAssoc
NE,40,54,Oct 25 2012,WieseResearchAssoc
NE,41,51,Oct 21 2012,PharosResearchGroup
NH,42,44,Apr 05 2012,DartmouthCollege
NH,45,40,Sep 10 2012,UofNewHampshire
NH,45,45,Jun 25 2012,MaristColl
NH,45,48,Sep 18 2012,Rasmussen
NH,46,50,Oct 11 2012,ARG
NH,47,41,Oct 06 2012,UofNewHampshire
NH,47,47,Oct 14 2012,SuffolkU
NH,47,49,Oct 22 2012,ARG
NH,48,41,Mar 18 2012,ARG
NH,48,43,Jun 20 2012,Rasmussen
NH,48,46,Sep 17 2012,ARG
NH,48,48,Nov 02 2012,UofNewHampshire
NH,48,48,Oct 09 2012,Rasmussen
NH,48,49,Oct 19 2012,PPP
NH,48,50,Oct 23 2012,Rasmussen
NH,49,45,Jul 15 2012,UofNewHampshire
NH,49,46,Aug 12 2012,UofNewHampshire
NH,49,46,Oct 25 2012,NewEnglandCollege
NH,49,47,Oct 28 2012,PPP
NH,49,47,Oct 29 2012,MaristColl
NH,49,49,Nov 04 2012,ARG
NH,50,40,Feb 02 2012,UofNewHampshire
NH,50,44,Aug 08 2012,PPP
NH,50,44,Oct 31 2012,NewEnglandCollege
NH,50,45,Sep 27 2012,ARG
NH,50,46,Nov 04 2012,NewEnglandCollege
NH,50,48,Nov 04 2012,PPP
NH,50,48,Nov 04 2012,Rasmussen
NH,50,49,Oct 15 2012,Rasmussen
NH,51,42,Apr 20 2012,UofNewHampshire
NH,51,42,Oct 21 2012,UofNewHampshire
NH,51,43,Jun 24 2012,ARG
NH,51,44,Sep 25 2012,MaristColl
NH,51,44,Sep 25 2012,PPP
NH,51,45,Aug 12 2012,PPP
NH,51,48,Nov 04 2012,UofNewHampshire
NH,53,41,May 13 2012,PPP
NH,54,39,Sep 30 2012,UofNewHampshire
NJ,48,38,Jan 16 2012,QuinnipiacU
NJ,49,36,Jul 29 2012,FairleighDickinsonU
NJ,49,38,Jul 15 2012,QuinnipiacU
NJ,49,39,Feb 27 2012,QuinnipiacU
NJ,49,39,May 14 2012,QuinnipiacU
NJ,49,40,Apr 09 2012,QuinnipiacU
NJ,50,36,May 06 2012,FairleighDickinsonU
NJ,50,37,Mar 11 2012,FairleighDickinsonU
NJ,50,42,Jul 22 2012,MonmouthU
NJ,51,37,Aug 25 2012,Rutgers
NJ,51,37,Sep 12 2012,GlobalStrategy
NJ,51,40,Oct 08 2012,GlobalStrategy
NJ,51,41,Oct 25 2012,GlobalStrategy
NJ,51,43,Oct 14 2012,QuinnipiacU
NJ,51,44,Sep 02 2012,QuinnipiacU
NJ,52,37,Jan 09 2012,PPP
NJ,52,37,Sep 23 2012,MonmouthU
NJ,52,38,Feb 26 2012,SurveyUSA
NJ,52,38,Sep 12 2012,FairleighDickinsonU
NJ,53,38,Oct 18 2012,RichardStocktonCollege
NJ,54,40,Oct 18 2012,SurveyUSA
NJ,56,31,Feb 11 2012,Rutgers
NJ,56,33,Jun 04 2012,Rutgers
NJ,56,39,Sep 30 2012,Rutgers
NM,45,40,Sep 06 2012,ResearchandPolling
NM,49,39,Oct 11 2012,ResearchandPolling
NM,49,44,Jul 16 2012,PPP
NM,50,41,Oct 25 2012,ResearchandPolling
NM,51,40,Sep 27 2012,Rasmussen
NM,52,36,Apr 03 2012,Rasmussen
NM,52,38,Aug 21 2012,Rasmussen
NM,52,43,Oct 03 2012,PPP
NM,53,42,Sep 09 2012,PPP
NM,53,44,Oct 24 2012,PPP
NM,54,40,Apr 22 2012,PPP
NM,54,43,Oct 08 2012,Rasmussen
NM,55,36,Feb 14 2012,Rasmussen
NV,47,45,Aug 21 2012,SurveyUSA
NV,47,45,Oct 09 2012,SuffolkU
NV,47,45,Sep 18 2012,Rasmussen
NV,47,46,Oct 08 2012,SurveyUSA
NV,47,47,Oct 08 2012,Rasmussen
NV,48,42,Jun 10 2012,PPP
NV,48,45,Oct 15 2012,SurveyUSA
NV,48,46,May 24 2012,MaristColl
NV,49,46,Sep 18 2012,ORCInternational
NV,49,47,Oct 22 2012,ARG
NV,49,47,Sep 25 2012,MaristColl
NV,50,44,Mar 19 2012,Rasmussen
NV,50,45,Jul 24 2012,Rasmussen
NV,50,46,Oct 25 2012,CallFire
NV,50,46,Oct 29 2012,SurveyUSA
NV,50,47,Aug 26 2012,PPP
NV,50,47,Oct 15 2012,Rasmussen
NV,50,47,Oct 24 2012,MaristColl
NV,50,48,Oct 23 2012,Rasmussen
NV,51,43,Apr 01 2012,PPP
NV,51,44,Sep 23 2012,ARG
NV,51,47,Nov 04 2012,PPP
NV,51,47,Oct 10 2012,PPP
NV,51,47,Oct 24 2012,PPP
NV,52,43,Sep 20 2012,PPP
NV,52,44,Apr 30 2012,Rasmussen
NV,53,44,Feb 01 2012,Rasmussen
NY,52,35,Feb 13 2012,QuinnipiacU
NY,55,32,Jul 23 2012,QuinnipiacU
NY,56,31,May 28 2012,QuinnipiacU
NY,56,33,Apr 02 2012,QuinnipiacU
NY,57,35,Apr 12 2012,MaristColl
NY,57,37,May 10 2012,SienaColl
NY,58,35,Jan 19 2012,MaristColl
NY,59,35,Jun 06 2012,SienaColl
NY,59,35,Oct 24 2012,SienaColl
NY,60,30,Feb 26 2012,SurveyUSA
NY,60,34,Feb 29 2012,SienaColl
NY,60,35,Apr 04 2012,SienaColl
NY,61,34,Jul 15 2012,SienaColl
NY,61,35,Oct 21 2012,MaristColl
NY,62,33,Aug 19 2012,SienaColl
NY,62,33,Oct 25 2012,SurveyUSA
NY,62,34,Sep 09 2012,QuinnipiacU
NY,63,31,Feb 01 2012,SienaColl
OH,38,44,Feb 13 2012,FoxNews
OH,44,42,Jan 16 2012,QuinnipiacU
OH,44,42,May 01 2012,QuinnipiacU
OH,44,46,Aug 14 2012,PurpleStrategies
OH,44,46,May 29 2012,Rasmussen
OH,45,39,Apr 17 2012,FoxNews
OH,45,42,Oct 15 2012,SurveyUSA
OH,45,44,May 07 2012,QuinnipiacU
OH,45,44,Oct 08 2012,SurveyUSA
OH,45,45,Aug 13 2012,Rasmussen
OH,45,45,Aug 25 2012,ColumbusDispatch
OH,45,48,Jun 05 2012,PurpleStrategies
OH,46,42,Apr 18 2012,Rasmussen
OH,46,42,Feb 08 2012,Rasmussen
OH,46,42,Oct 09 2012,Zogby
OH,46,43,Oct 18 2012,FoxNews
OH,46,44,Oct 25 2012,PurpleStrategies
OH,46,47,Oct 15 2012,PulseOpinionResearch
OH,47,38,Jun 25 2012,QuinnipiacU
OH,47,41,Mar 26 2012,QuinnipiacU
OH,47,44,Jun 24 2012,PPP
OH,47,44,Oct 22 2012,SurveyUSA
OH,47,45,Jul 18 2012,Rasmussen
OH,47,45,Nov 01 2012,IPSOS
OH,47,46,Sep 12 2012,Rasmussen
OH,47,47,Oct 21 2012,SuffolkU
OH,47,48,Oct 08 2012,ARG
OH,48,40,Mar 26 2012,Rasmussen
OH,48,42,May 20 2012,MaristColl
OH,48,44,Nov 04 2012,IPSOS
OH,48,44,Sep 19 2012,PurpleStrategies
OH,48,45,Aug 12 2012,PPP
OH,48,45,Jul 13 2012,PurpleStrategies
OH,48,45,Oct 29 2012,SurveyUSA
OH,48,45,Oct 30 2012,IPSOS
OH,48,46,Oct 29 2012,PulseOpinionResearch
OH,48,46,Oct 30 2012,UofCincinnati
OH,48,47,Oct 10 2012,Rasmussen
OH,48,47,Sep 12 2012,ARG
OH,48,48,Oct 20 2012,Angus
OH,48,48,Oct 23 2012,Rasmussen
OH,48,50,Oct 28 2012,Rasmussen
OH,49,42,Jan 29 2012,PPP
OH,49,42,Sep 18 2012,FoxNews
OH,49,44,Apr 23 2012,PurpleStrategies
OH,49,44,Nov 04 2012,SurveyUSA
OH,49,44,Oct 23 2012,AbtSRBI
OH,49,45,Oct 29 2012,Zogby
OH,49,45,Sep 30 2012,PPP
