State,Electors,Obama,%,McCain,%,Nader,%,Barr,%,Baldwin,%,McKinney,%,Others votes,%,Obama Ð McCain,Obama + McCain
Montana,3,"231,667",47.25,"242,763",49.52,"3,686",0.752,"1,355",0.276,143,0.029,23,0.005,"10,638",2.17,_2.26,96.77
NE 1st Dist.,1,"121,468",44.34,"148,179",54.09,"1,970",0.719,929,0.339,"1,019",0.372,393,0.143,,,_9.75,98.43
NE 2nd Dist.,1,"138,752",49.96,"135,439",48.76,"1,621",0.584,"1,007",0.363,604,0.217,321,0.116,,,1.19,98.72
NE 3rd Dist.,1,"73,099",29.63,"169,361",68.64,"1,815",0.736,804,0.326,"1,349",0.547,314,0.127,,,_39.01,98.26
Nevada,5,"533,736",55.15,"412,827",42.65,"6,150",0.635,"4,263",0.44,"3,194",0.33,"1,411",0.146,"6,267",0.648,12.49,97.8
New Hampshire,4,"384,826",54.13,"316,534",44.52,"3,503",0.493,"2,217",0.312,226,0.032,40,0.006,"3,624",0.51,9.61,98.65
New Jersey,15,"2,215,422",57.27,"1,613,207",41.7,"21,298",0.551,"8,441",0.218,"3,956",0.102,"3,636",0.094,"2,277",0.059,15.57,98.98
New Mexico,5,"472,422",56.91,"346,832",41.78,"5,327",0.642,"2,428",0.292,"1,597",0.192,"1,552",0.187,,,15.13,98.69
New York,31,"4,804,701",62.88,"2,752,728",36.03,"41,248",0.54,"19,595",0.256,634,0.008,"12,801",0.168,"8,936",0.117,26.86,98.91
North Carolina,15,"2,142,651",49.69,"2,128,474",49.36,"1,448",0.034,"25,722",0.596,,,158,0.004,"13,942",0.323,0.33,99.04
North Dakota,3,"141,278",44.62,"168,601",53.25,"4,189",1.32,"1,354",0.428,"1,199",0.379,,,,,_8.63,97.87
Ohio,20,"2,940,044",51.5,"2,677,820",46.91,"42,337",0.742,"19,917",0.349,"12,565",0.22,"8,518",0.149,"7,149",0.125,4.59,98.41
Oklahoma,7,"502,496",34.35,"960,165",65.65,,,,,,,,,,,_31.29,100
Oregon,7,"1,037,291",56.75,"738,475",40.4,"18,614",1.02,"7,635",0.418,"7,693",0.421,"4,543",0.249,"13,613",0.745,16.35,97.15
Pennsylvania,21,"3,276,363",54.64,"2,655,885",44.29,"42,977",0.717,"19,912",0.332,"1,092",0.018,,,,,10.35,98.93
Rhode Island,4,"296,571",63.13,"165,391",35.21,"4,829",1.03,"1,382",0.294,675,0.144,797,0.17,122,0.026,27.92,98.34
South Carolina,8,"862,449",44.9,"1,034,896",53.87,"5,053",0.263,"7,283",0.379,"6,827",0.355,"4,461",0.232,,,_8.98,98.77
South Dakota,3,"170,924",44.75,"203,054",53.16,"4,267",1.12,"1,835",0.48,"1,895",0.496,,,,,_8.41,97.91
Tennessee,11,"1,087,437",41.83,"1,479,178",56.9,"11,560",0.445,"8,547",0.329,"8,191",0.315,"2,499",0.096,"2,337",0.09,_15.07,98.73
Texas,34,"3,528,633",43.68,"4,479,328",55.45,"5,440",0.067,"56,116",0.695,"5,395",0.067,831,0.01,"2,781",0.034,_11.77,99.13
Utah,5,"327,670",34.41,"596,030",62.58,"8,416",0.884,"6,966",0.731,"12,012",1.26,982,0.103,294,0.031,_28.18,96.99
Vermont,3,"219,262",67.44,"98,974",30.44,"3,339",1.03,"1,067",0.328,500,0.154,66,0.02,"1,904",0.586,37,97.89
Virginia,13,"1,959,532",52.63,"1,725,005",46.33,"11,483",0.308,"11,067",0.297,"7,474",0.201,"2,344",0.063,"6,355",0.171,6.3,98.96
Washington,11,"1,750,848",57.65,"1,229,216",40.48,"29,489",0.971,"12,728",0.419,"9,432",0.311,"3,819",0.126,"1,346",0.044,17.18,98.13
West Virginia,5,"303,857",42.59,"397,466",55.71,"7,219",1.01,,,"2,465",0.346,"2,355",0.33,89,0.012,_13.12,98.3
Wisconsin,10,"1,677,211",56.22,"1,262,393",42.31,"17,605",0.59,"8,858",0.297,"5,072",0.17,"4,216",0.141,"8,062",0.27,13.9,98.53
Wyoming,3,"82,868",32.54,"164,958",64.78,"2,525",0.992,"1,594",0.626,"1,192",0.468,,,"1,521",0.597,_32.24,97.32
