State,Dem,Rep,Date,Pollster
CO,50,41,Sep 23 2008,InsiderAdvantage
CO,50,46,Oct 26 2008,Rasmussen
CO,50,47,Sep 23 2008,Rasmussen
CO,51,41,Sep 17 2008,InsiderAdvantage
CO,51,45,Oct 05 2008,Rasmussen
CO,51,45,Oct 06 2008,InsiderAdvantage
CO,51,45,Oct 28 2008,MaristColl
CO,51,46,Oct 19 2008,Rasmussen
CO,51,46,Oct 20 2008,InsiderAdvantage
CO,51,47,Oct 14 2008,OpinionResearch
CO,51,47,Sep 23 2008,OpinionResearch
CO,52,40,Oct 23 2008,PublicOpinionStrat
CO,52,43,Oct 12 2008,QuinnipiacU
CO,52,45,Oct 16 2008,Rasmussen
CO,52,45,Oct 30 2008,ARG
CO,53,45,Oct 26 2008,InsiderAdvantage
CO,53,45,Oct 28 2008,OpinionResearch
CT,47,44,May 29 2008,Rasmussen
CT,49,35,Sep 23 2008,PulsarResearch
CT,50,38,Mar 11 2008,Rasmussen
CT,51,36,Jul 31 2008,Rasmussen
CT,52,35,Jun 30 2008,Rasmussen
CT,52,35,Mar 24 2008,QuinnipiacU
CT,53,41,Sep 16 2008,Rasmussen
CT,54,38,Sep 25 2008,SurveyUSA
CT,54,39,Sep 19 2008,ARG
CT,55,34,Feb 28 2008,SurveyUSA
CT,56,31,Oct 22 2008,UofConnecticut
CT,56,35,Jun 29 2008,QuinnipiacU
CT,56,39,Oct 14 2008,Rasmussen
DC,82,13,Sep 13 2008,ARG
DE,50,41,Feb 28 2008,SurveyUSA
DE,51,40,Sep 15 2008,ARG
DE,55,43,Sep 13 2008,Rasmussen
DE,56,36,Sep 21 2008,FairleighDickinsonU
DE,56,38,Oct 08 2008,WestChesterU
DE,56,41,Oct 10 2008,Rasmussen
DE,57,37,Sep 23 2008,SurveyUSA
DE,63,33,Oct 28 2008,SurveyUSA
FL,37,46,Mar 31 2008,QuinnipiacU
FL,37,53,Feb 16 2008,Rasmussen
FL,38,53,Apr 10 2008,Rasmussen
FL,39,47,Jun 18 2008,Rasmussen
FL,40,50,May 19 2008,Rasmussen
FL,41,45,May 20 2008,QuinnipiacU
FL,41,48,Jun 26 2008,Rasmussen
FL,42,50,Sep 10 2008,InsiderAdvantage
FL,43,44,Apr 29 2008,QuinnipiacU
FL,43,46,Aug 18 2008,Rasmussen
FL,43,47,Aug 24 2008,QuinnipiacU
FL,43,47,Mar 12 2008,Rasmussen
FL,43,50,Sep 09 2008,QuinnipiacU
FL,44,44,Sep 15 2008,FinancialDynamics
FL,44,48,Aug 11 2008,InsiderAdvantage
FL,44,49,Sep 14 2008,Rasmussen
FL,44,50,Aug 03 2008,SurveyUSA
FL,45,43,Oct 26 2008,GfKRoper
FL,45,44,Aug 26 2008,MasonDixon
FL,45,44,Oct 27 2008,FinancialDynamics
FL,45,46,Oct 21 2008,MasonDixon
FL,45,47,Feb 28 2008,SurveyUSA
FL,45,47,Jul 21 2008,ARG
FL,45,47,Sep 17 2008,SchrothPollingCo
FL,45,51,Sep 17 2008,SurveyUSA
FL,46,42,Sep 30 2008,SuffolkU
FL,46,44,Jul 29 2008,QuinnipiacU
FL,46,45,Jul 22 2008,Rasmussen
FL,46,46,Sep 17 2008,ARG
FL,46,47,Aug 20 2008,ARG
FL,46,51,Sep 21 2008,Rasmussen
FL,47,42,Oct 13 2008,Datamar
FL,47,43,Jun 16 2008,QuinnipiacU
FL,47,45,Oct 26 2008,QuinnipiacU
FL,47,45,Oct 30 2008,MasonDixon
FL,47,45,Sep 18 2008,MasonDixon
FL,47,46,Sep 25 2008,ARG
FL,47,47,Oct 26 2008,Zogby
FL,47,47,Oct 30 2008,Datamar
FL,47,47,Sep 28 2008,Rasmussen
FL,47,48,Sep 24 2008,Rasmussen
FL,47,48,Sep 28 2008,SurveyUSA
FL,47,49,Oct 17 2008,SurveyUSA
FL,48,44,Oct 13 2008,InsiderAdvantage
FL,48,46,Nov 02 2008,Zogby
FL,48,46,Oct 06 2008,MasonDixon
FL,48,47,Oct 22 2008,InsiderAdvantage
FL,48,48,Sep 07 2008,Rasmussen
FL,48,48,Sep 16 2008,OpinionResearch
FL,48,49,Oct 19 2008,Rasmussen
FL,49,42,Oct 22 2008,PollingCompany
FL,49,44,Jun 17 2008,ARG
FL,49,44,Oct 21 2008,QuinnipiacU
FL,49,44,Oct 26 2008,Datamar
FL,49,44,Oct 26 2008,SuffolkU
FL,49,46,Sep 30 2008,InsiderAdvantage
FL,50,43,Oct 27 2008,LATimes
FL,50,46,Oct 31 2008,ARG
FL,50,47,Oct 08 2008,Rasmussen
FL,51,43,Sep 29 2008,QuinnipiacU
FL,51,46,Oct 12 2008,Rasmussen
FL,51,46,Oct 14 2008,OpinionResearch
FL,51,47,Oct 26 2008,Rasmussen
FL,51,47,Oct 28 2008,OpinionResearch
FL,51,47,Sep 30 2008,OpinionResearch
FL,52,45,Oct 05 2008,Rasmussen
GA,38,56,Sep 10 2008,InsiderAdvantage
GA,39,48,Jul 17 2008,Rasmussen
GA,39,53,May 06 2008,Rasmussen
GA,39,57,Sep 21 2008,ARG
GA,40,53,Mar 20 2008,Rasmussen
GA,41,51,Jun 04 2008,Rasmussen
GA,41,54,Feb 28 2008,SurveyUSA
GA,41,57,Sep 16 2008,SurveyUSA
GA,43,44,Jun 18 2008,InsiderAdvantage
GA,43,49,Oct 23 2008,MasonDixon
GA,43,50,Aug 14 2008,Rasmussen
GA,43,51,Oct 12 2008,SurveyUSA
GA,43,51,Sep 17 2008,InsiderAdvantage
GA,43,53,Jun 26 2008,Rasmussen
GA,43,54,Sep 16 2008,Rasmussen
GA,44,46,Jul 02 2008,InsiderAdvantage
GA,44,50,Sep 30 2008,InsiderAdvantage
GA,44,52,Sep 29 2008,SurveyUSA
GA,45,53,Oct 14 2008,OpinionResearch
GA,45,54,Oct 07 2008,Rasmussen
GA,46,49,Oct 09 2008,InsiderAdvantage
GA,46,51,Oct 22 2008,Rasmussen
GA,47,48,Oct 27 2008,InsiderAdvantage
GA,47,52,Oct 28 2008,OpinionResearch
GA,47,52,Oct 30 2008,Rasmussen
GA,48,47,Oct 23 2008,InsiderAdvantage
HI,61,31,Feb 28 2008,SurveyUSA
HI,63,32,Sep 12 2008,ARG
HI,68,27,Sep 20 2008,Rasmussen
IA,44,41,Feb 18 2008,Rasmussen
IA,44,42,May 13 2008,Rasmussen
IA,45,38,Jun 10 2008,Rasmussen
IA,45,45,Sep 17 2008,UofWisconsin
IA,46,41,Aug 07 2008,Rasmussen
IA,46,42,Mar 31 2008,Rasmussen
IA,47,38,May 22 2008,SurveyUSA
IA,49,42,Apr 13 2008,SurveyUSA
IA,49,45,Jun 16 2008,SurveyUSA
IA,50,41,Feb 28 2008,SurveyUSA
IA,50,43,Aug 13 2008,UofIowa
IA,50,44,Mar 16 2008,SurveyUSA
IA,51,40,Oct 23 2008,MasonDixon
IA,51,41,Feb 17 2008,SurveyUSA
IA,51,41,Jul 10 2008,Rasmussen
IA,51,41,Sep 21 2008,MaristColl
IA,51,43,Sep 25 2008,Rasmussen
IA,51,44,Sep 20 2008,ARG
IA,52,39,Oct 22 2008,UofWisconsin
IA,52,40,Sep 10 2008,Selzer
IA,52,42,Oct 24 2008,MaristColl
IA,52,44,Oct 23 2008,Rasmussen
IA,54,37,Oct 31 2008,Selzer
IA,54,41,Oct 09 2008,SurveyUSA
IA,54,43,Sep 18 2008,SurveyUSA
IA,55,40,Oct 29 2008,SurveyUSA
IA,55,40,Sep 02 2008,OpinionResearch
ID,25,68,Sep 10 2008,ARG
ID,29,52,Aug 22 2008,GregSmith
ID,29,68,Sep 09 2008,Rasmussen
ID,39,52,Feb 28 2008,SurveyUSA
IL,50,37,Jul 08 2008,Rasmussen
IL,51,45,Sep 16 2008,ARG
IL,53,37,Sep 17 2008,UofWisconsin
IL,53,38,Aug 12 2008,Rasmussen
IL,56,32,Oct 18 2008,MarketShares
IL,56,39,Oct 13 2008,Rasmussen
IL,56,40,Sep 17 2008,Rasmussen
IL,60,31,Feb 28 2008,SurveyUSA
IL,60,38,Nov 01 2008,Rasmussen
IL,61,32,Oct 22 2008,UofWisconsin
IN,38,47,Jun 01 2008,IndLegisInsight
IN,40,50,Feb 04 2008,SurveyUSA
IN,41,50,Feb 28 2008,SurveyUSA
IN,42,46,Aug 21 2008,Rasmussen
IN,43,45,Aug 30 2008,HoweyGauge
IN,43,47,Sep 17 2008,UofWisconsin
IN,43,50,Oct 07 2008,Rasmussen
IN,44,47,Sep 18 2008,ARG
IN,44,49,Nov 02 2008,Zogby
IN,44,50,Aug 18 2008,SurveyUSA
IN,44,50,Oct 26 2008,Zogby
IN,44,51,Apr 16 2008,IPFWU
IN,45,47,Oct 24 2008,HoweyGauge
IN,45,48,Sep 29 2008,SurveyUSA
IN,45,51,Sep 16 2008,OpinionResearch
IN,46,45,Oct 28 2008,Selzer
IN,46,49,Oct 29 2008,Rasmussen
IN,46,51,Oct 06 2008,OpinionResearch
IN,47,44,Sep 16 2008,Selzer
IN,47,47,Oct 30 2008,SurveyUSA
IN,47,49,Sep 18 2008,Rasmussen
IN,48,47,Jun 23 2008,SurveyUSA
IN,48,48,Oct 31 2008,ARG
IN,49,41,Apr 23 2008,Selzer
IN,49,45,Oct 22 2008,SurveyUSA
IN,51,41,Oct 22 2008,UofWisconsin
KS,31,63,Sep 10 2008,ARG
KS,32,52,Jul 14 2008,Rasmussen
KS,34,55,May 13 2008,Rasmussen
KS,35,58,Aug 20 2008,SurveyUSA
KS,37,47,Jun 11 2008,Rasmussen
KS,37,52,Aug 11 2008,Rasmussen
KS,37,54,Apr 13 2008,SurveyUSA
KS,37,58,Oct 28 2008,SurveyUSA
KS,38,58,Sep 18 2008,Rasmussen
KS,39,49,May 18 2008,SurveyUSA
KS,39,51,Mar 16 2008,SurveyUSA
KS,41,50,Feb 28 2008,SurveyUSA
KS,41,53,Oct 22 2008,SurveyUSA
KS,41,53,Sep 22 2008,SurveyUSA
KS,41,54,Oct 13 2008,Rasmussen
KS,44,50,Feb 17 2008,SurveyUSA
KY,28,64,Mar 16 2008,SurveyUSA
KY,29,63,Apr 13 2008,SurveyUSA
KY,32,56,May 18 2008,SurveyUSA
KY,32,61,Feb 04 2008,SurveyUSA
KY,33,54,Feb 28 2008,SurveyUSA
KY,35,51,Jun 25 2008,Rasmussen
KY,37,55,Aug 11 2008,SurveyUSA
KY,37,57,Sep 12 2008,ARG
KY,38,57,Sep 22 2008,SurveyUSA
KY,39,49,Jul 29 2008,Rasmussen
KY,40,56,Nov 01 2008,SurveyUSA
KY,41,53,Jun 16 2008,SurveyUSA
KY,41,53,Sep 25 2008,MasonDixon
KY,41,54,Oct 20 2008,SurveyUSA
KY,42,51,Oct 29 2008,MasonDixon
KY,42,52,Sep 30 2008,Rasmussen
KY,43,55,Oct 29 2008,Rasmussen
KY,44,52,Oct 21 2008,Rasmussen
LA,35,51,Apr 09 2008,OpinionRes
LA,36,52,Jun 28 2008,OpinionRes
LA,37,56,Jul 09 2008,Rasmussen
LA,38,51,Oct 23 2008,SoutheasternLaU
LA,38,55,Aug 17 2008,Rasmussen
LA,39,54,Feb 28 2008,SurveyUSA
LA,40,43,Oct 26 2008,LoyolaU
LA,40,55,Sep 25 2008,Rasmussen
LA,41,50,May 28 2008,Rasmussen
LA,41,52,Apr 09 2008,Rasmussen
LA,41,57,Oct 21 2008,Rasmussen
LA,43,50,Sep 12 2008,ARG
MA,46,41,May 18 2008,SurveyUSA
MA,47,38,Aug 03 2008,SuffolkU
MA,47,47,Mar 16 2008,SurveyUSA
MA,48,46,Apr 13 2008,SurveyUSA
MA,48,46,Feb 17 2008,SurveyUSA
MA,49,42,Feb 28 2008,SurveyUSA
MA,49,42,Mar 18 2008,Rasmussen
MA,51,36,Aug 05 2008,Rasmussen
MA,51,38,May 29 2008,Rasmussen
MA,51,39,Apr 23 2008,Rasmussen
MA,53,30,Jun 10 2008,SuffolkU
MA,53,33,Jun 30 2008,Rasmussen
MA,53,34,Oct 22 2008,SuffolkU
MA,53,40,Jun 27 2008,SurveyUSA
MA,55,39,Sep 22 2008,ARG
MA,55,39,Sep 23 2008,SurveyUSA
MA,56,39,Oct 28 2008,SurveyUSA
MA,58,38,Sep 23 2008,Rasmussen
MA,59,35,Oct 14 2008,SurveyUSA
MA,62,34,Oct 13 2008,Rasmussen
MD,51,37,Mar 01 2008,GonzalesRes
MD,52,38,Sep 05 2008,GonzalesResearch
MD,53,40,Feb 28 2008,SurveyUSA
MD,53,41,Aug 18 2008,Rasmussen
MD,54,39,Sep 19 2008,ARG
MD,60,37,Sep 20 2008,Rasmussen
ME,37,26,Jun 18 2008,PanAtlanticSMS
ME,46,36,Jul 17 2008,Rasmussen
ME,49,36,Aug 12 2008,Rasmussen
ME,49,39,Apr 01 2008,Rasmussen
ME,49,44,Sep 23 2008,SurveyUSA
ME,50,46,Sep 17 2008,Rasmussen
ME,51,31,Jun 27 2008,CriticalInsights
ME,51,38,May 14 2008,Rasmussen
ME,51,39,Oct 16 2008,PanAtlanticSMS
ME,51,41,Sep 10 2008,ARG
ME,51,46,Oct 02 2008,Rasmussen
ME,53,39,Feb 28 2008,SurveyUSA
ME,54,39,Oct 20 2008,SurveyUSA
ME,55,33,Jun 16 2008,Rasmussen
ME,56,35,Oct 19 2008,CriticalInsights
ME,56,43,Nov 01 2008,Rasmussen
MI,37,41,May 28 2008,SurveyUSA
MI,40,44,May 22 2008,EPICMRA
MI,41,44,Mar 10 2008,Rasmussen
MI,42,43,Mar 25 2008,Rasmussen
MI,43,41,Apr 08 2008,EPICMRA
MI,43,41,Aug 21 2008,EPICMRA
MI,43,41,Jul 16 2008,EPICMRA
MI,43,42,Sep 17 2008,EPICMRA
MI,43,46,Sep 19 2008,MarketingResourceGrp
MI,44,45,May 07 2008,Rasmussen
MI,44,45,May 08 2008,Rasmussen
MI,44,45,Sep 10 2008,InsiderAdvantage
MI,45,42,Jun 09 2008,Rasmussen
MI,46,39,Aug 20 2008,Selzer
MI,46,42,Jul 22 2008,QuinnipiacU
MI,46,45,Feb 28 2008,SurveyUSA
MI,46,46,Sep 23 2008,MasonDixon
MI,47,39,Sep 22 2008,FinancialDynamics
MI,47,40,Aug 07 2008,Rasmussen
MI,48,38,Sep 22 2008,EPICMRA
MI,48,42,Jun 24 2008,QuinnipiacU
MI,48,44,Sep 17 2008,UofWisconsin
MI,48,44,Sep 21 2008,QuinnipiacU
MI,48,46,Sep 19 2008,ARG
MI,49,45,Sep 09 2008,OpinionResearch
MI,50,38,Oct 28 2008,EPICMRA
MI,50,42,Jul 10 2008,Rasmussen
MI,51,37,Oct 22 2008,EPICMRA
MI,51,38,Sep 24 2008,Selzer
MI,51,44,Sep 21 2008,Rasmussen
MI,51,46,Sep 10 2008,Rasmussen
MI,51,46,Sep 23 2008,OpinionResearch
MI,52,43,Sep 17 2008,MaristColl
MI,53,37,Oct 31 2008,Selzer
MI,53,43,Oct 28 2008,Rasmussen
MI,54,38,Oct 12 2008,QuinnipiacU
MI,56,40,Oct 08 2008,Rasmussen
MI,58,36,Oct 22 2008,UofWisconsin
MN,42,37,Oct 22 2008,StCloudStateU
MN,45,45,Sep 12 2008,PrincetonSurvey
MN,46,42,Aug 13 2008,Rasmussen
MN,46,44,Jul 22 2008,QuinnipiacU
MN,46,47,Mar 16 2008,SurveyUSA
MN,46,47,Oct 01 2008,SurveyUSA
MN,47,42,May 18 2008,SurveyUSA
MN,47,43,Mar 19 2008,Rasmussen
MN,47,45,Aug 14 2008,SurveyUSA
MN,47,45,Sep 17 2008,UofWisconsin
MN,47,45,Sep 21 2008,QuinnipiacU
MN,47,46,Jun 16 2008,SurveyUSA
MN,47,46,Oct 07 2008,ARG
MN,48,38,Aug 17 2008,UofMinnesota
MN,48,40,Oct 28 2008,MasonDixon
MN,48,47,Sep 20 2008,ARG
MN,49,37,Jul 22 2008,Rasmussen
MN,49,42,Feb 28 2008,SurveyUSA
MN,49,43,Apr 13 2008,SurveyUSA
MN,49,46,Nov 01 2008,SurveyUSA
MN,49,47,Oct 07 2008,SurveyUSA
MN,49,47,Sep 11 2008,SurveyUSA
MN,50,40,Oct 20 2008,FinancialDynamics
MN,50,44,Oct 18 2008,SurveyUSA
MN,51,38,May 15 2008,StarTribune
MN,51,40,Oct 12 2008,QuinnipiacU
MN,52,34,Jul 10 2008,Rasmussen
MN,52,38,Apr 22 2008,Rasmussen
MN,52,39,Jun 11 2008,Rasmussen
MN,52,41,Oct 17 2008,PrincetonSurvey
MN,52,41,Oct 17 2008,StarTribune
MN,52,44,Sep 18 2008,Rasmussen
MN,52,45,Oct 07 2008,Rasmussen
MN,53,38,Feb 16 2008,Rasmussen
MN,53,38,May 22 2008,Rasmussen
MN,53,41,Sep 02 2008,OpinionResearch
MN,53,42,Oct 31 2008,PrincetonSurvey
MN,54,37,Jun 24 2008,QuinnipiacU
MN,54,40,Oct 05 2008,UofMinnesota
MN,54,43,Sep 30 2008,OpinionResearch
MN,55,37,Oct 02 2008,PrincetonSurvey
MN,55,40,Feb 17 2008,SurveyUSA
MN,55,43,Oct 28 2008,Rasmussen
MN,56,37,Oct 28 2008,UofMinnesota
MN,56,41,Oct 22 2008,Rasmussen
MN,57,38,Oct 22 2008,UofWisconsin
MO,38,53,Mar 24 2008,Rasmussen
MO,39,53,Mar 16 2008,SurveyUSA
MO,40,42,Feb 12 2008,Rasmussen
MO,41,47,May 06 2008,Rasmussen
MO,41,48,Aug 07 2008,Rasmussen
MO,42,47,Jul 07 2008,Rasmussen
MO,42,48,Feb 28 2008,SurveyUSA
MO,42,50,Apr 13 2008,SurveyUSA
MO,43,42,Jun 03 2008,Rasmussen
MO,43,50,Jun 22 2008,SurveyUSA
MO,44,45,Oct 19 2008,SuffolkU
MO,44,49,Jul 31 2008,SurveyUSA
MO,45,43,May 18 2008,SurveyUSA
MO,45,46,Oct 23 2008,MasonDixon
MO,45,50,Sep 09 2008,OpinionResearch
MO,45,50,Sep 15 2008,ARG
MO,46,47,Oct 30 2008,MasonDixon
MO,46,48,Sep 24 2008,SurveyUSA
MO,46,49,Oct 06 2008,ARG
MO,46,51,Sep 11 2008,Rasmussen
MO,47,46,Nov 02 2008,Zogby
MO,47,50,Oct 29 2008,InsiderAdvantage
MO,48,46,Oct 26 2008,Zogby
MO,48,47,Oct 26 2008,Rasmussen
MO,48,48,Oct 26 2008,SurveyUSA
MO,48,48,Oct 30 2008,ARG
MO,48,49,Oct 14 2008,OpinionResearch
MO,48,50,Oct 28 2008,OpinionResearch
MO,49,43,Feb 17 2008,SurveyUSA
MO,49,44,Oct 19 2008,Rasmussen
MO,49,48,Sep 30 2008,OpinionResearch
MO,50,47,Oct 05 2008,Rasmussen
MO,50,47,Oct 12 2008,Rasmussen
MO,51,43,Oct 12 2008,SurveyUSA
MO,52,46,Oct 15 2008,Rasmussen
MS,33,46,Oct 23 2008,USAPollingGroup
MS,33,46,Oct 23 2008,UofSouthAlabama
MS,39,55,Sep 16 2008,ARG
MS,41,52,Jul 28 2008,Rasmussen
MS,41,54,Aug 21 2008,Rasmussen
MS,41,54,Feb 28 2008,SurveyUSA
MS,44,50,Jun 24 2008,Rasmussen
MS,44,50,May 27 2008,Rasmussen
MS,44,52,Sep 30 2008,Rasmussen
MS,45,53,Oct 27 2008,Rasmussen
MT,39,47,Feb 28 2008,SurveyUSA
MT,39,47,May 21 2008,MasonDixon
MT,42,53,Sep 08 2008,Rasmussen
MT,43,48,Apr 06 2008,Rasmussen
MT,43,54,Sep 23 2008,OpinionResearch
MT,44,40,Oct 20 2008,MontanaStateU
MT,44,45,Jul 29 2008,Rasmussen
MT,44,48,Oct 25 2008,MasonDixon
MT,44,52,Oct 01 2008,Rasmussen
MT,45,50,Oct 08 2008,ARG
MT,46,49,Oct 30 2008,ARG
MT,46,50,Oct 29 2008,Rasmussen
MT,47,49,Sep 09 2008,ARG
MT,48,43,Jul 01 2008,Rasmussen
NC,35,41,Sep 18 2008,ElonU
NC,38,58,Sep 08 2008,SurveyUSA
NC,39,48,Apr 10 2008,TelOpinionResearch
NC,41,52,Sep 16 2008,ARG
NC,42,45,Jul 15 2008,Rasmussen
NC,42,46,Aug 13 2008,Rasmussen
NC,42,51,Mar 20 2008,Rasmussen
NC,43,45,Aug 19 2008,InsiderAdvantage
NC,43,45,Jun 10 2008,Rasmussen
NC,43,51,May 19 2008,SurveyUSA
NC,45,38,Oct 30 2008,ElonU
NC,45,44,Oct 19 2008,WinthropU
NC,45,47,Feb 28 2008,SurveyUSA
NC,45,48,May 08 2008,Rasmussen
NC,45,49,Aug 11 2008,SurveyUSA
NC,45,50,Jul 14 2008,SurveyUSA
NC,46,48,Oct 07 2008,MarshallMarketing
NC,46,49,Oct 06 2008,SurveyUSA
NC,46,49,Oct 30 2008,MasonDixon
NC,46,49,Sep 29 2008,ARG
NC,47,43,Oct 27 2008,FinancialDynamics
NC,47,47,Apr 10 2008,Rasmussen
NC,47,47,Oct 20 2008,SurveyUSA
NC,47,47,Oct 24 2008,MasonDixon
NC,47,48,Sep 16 2008,OpinionResearch
NC,47,50,Sep 18 2008,Rasmussen
NC,48,46,Oct 13 2008,InsiderAdvantage
NC,48,46,Oct 21 2008,MarshallMarketing
NC,48,46,Oct 26 2008,GfKRoper
NC,48,48,Oct 12 2008,Rasmussen
NC,48,48,Oct 29 2008,InsiderAdvantage
NC,48,49,Nov 02 2008,Zogby
NC,48,49,Oct 26 2008,Rasmussen
NC,48,50,Oct 23 2008,Rasmussen
NC,49,47,Sep 23 2008,Rasmussen
NC,49,48,Oct 08 2008,Rasmussen
NC,49,48,Oct 19 2008,InsiderAdvantage
